old_name,new_name
tx_academics_person.php,tx_academics_domain_model_person.php
tx_academics_organization.php,tx_academics_domain_model_organization.php
tx_academics_course.php,tx_academics_domain_model_course.php
tx_academics_project.php,tx_academics_domain_model_project.php
tx_academics_studyprogram.php,tx_academics_domain_model_study_program.php
tx_academics_academicrank.php,tx_academics_domain_model_academic_rank.php
tx_academics_academictitle.php,tx_academics_domain_model_academic_title.php
tx_academics_persontype.php,tx_academics_domain_model_person_type.php
tx_academics_organizationtype.php,tx_academics_domain_model_organization_type.php
tx_academics_coursecategory.php,tx_academics_domain_model_course_category.php
tx_academics_coursegroup.php,tx_academics_domain_model_course_group.php
tx_academics_coursestatus.php,tx_academics_domain_model_course_status.php
tx_academics_coursesyllabus.php,tx_academics_domain_model_course_syllabus.php
tx_academics_teachingmethod.php,tx_academics_domain_model_teaching_method.php
tx_academics_externalcourse.php,tx_academics_domain_model_external_course.php
tx_academics_studycycle.php,tx_academics_domain_model_study_cycle.php
tx_academics_studytype.php,tx_academics_domain_model_study_type.php
tx_academics_modeofstudy.php,tx_academics_domain_model_mode_of_study.php
tx_academics_projectstatus.php,tx_academics_domain_model_project_status.php
tx_academics_projecttype.php,tx_academics_domain_model_project_type.php
tx_academics_fundingprogram.php,tx_academics_domain_model_funding_program.php
tx_academics_personeducation.php,tx_academics_domain_model_person_education.php
tx_academics_personmentoring.php,tx_academics_domain_model_person_mentoring.php
tx_academics_courseperson.php,tx_academics_domain_model_course_person.php
tx_academics_projectperson.php,tx_academics_domain_model_project_person.php
tx_academics_curriculum.php,tx_academics_domain_model_curriculum.php
tx_academics_curriculumsemester.php,tx_academics_domain_model_curriculum_semester.php
tx_academics_partner.php,tx_academics_domain_model_partner.php
tx_academics_publication.php,tx_academics_domain_model_publication.php
tx_academics_scientificfield.php,tx_academics_domain_model_scientific_field.php
tx_academics_sdg.php,tx_academics_domain_model_sdg.php
tx_academics_language.php,tx_academics_domain_model_language.php
