old_name,new_name
tx_academics_domain_model_academic_rank.php,tx_academics_domain_model_academicrank.php
tx_academics_domain_model_academic_title.php,tx_academics_domain_model_academictitle.php
tx_academics_domain_model_person_type.php,tx_academics_domain_model_persontype.php
tx_academics_domain_model_organization_type.php,tx_academics_domain_model_organizationtype.php
tx_academics_domain_model_course_category.php,tx_academics_domain_model_coursecategory.php
tx_academics_domain_model_course_group.php,tx_academics_domain_model_coursegroup.php
tx_academics_domain_model_course_status.php,tx_academics_domain_model_coursestatus.php
tx_academics_domain_model_course_syllabus.php,tx_academics_domain_model_coursesyllabus.php
tx_academics_domain_model_teaching_method.php,tx_academics_domain_model_teachingmethod.php
tx_academics_domain_model_external_course.php,tx_academics_domain_model_externalcourse.php
tx_academics_domain_model_curriculum_semester.php,tx_academics_domain_model_curriculumsemester.php
tx_academics_domain_model_study_cycle.php,tx_academics_domain_model_studycycle.php
tx_academics_domain_model_study_type.php,tx_academics_domain_model_studytype.php
tx_academics_domain_model_study_program.php,tx_academics_domain_model_studyprogram.php
tx_academics_domain_model_mode_of_study.php,tx_academics_domain_model_modeofstudy.php
tx_academics_domain_model_project_status.php,tx_academics_domain_model_projectstatus.php
tx_academics_domain_model_project_type.php,tx_academics_domain_model_projecttype.php
tx_academics_domain_model_funding_program.php,tx_academics_domain_model_fundingprogram.php
tx_academics_domain_model_person_education.php,tx_academics_domain_model_personeducation.php
tx_academics_domain_model_person_mentoring.php,tx_academics_domain_model_personmentoring.php
tx_academics_domain_model_course_person.php,tx_academics_domain_model_courseperson.php
tx_academics_domain_model_project_person.php,tx_academics_domain_model_projectperson.php
tx_academics_domain_model_scientific_field.php,tx_academics_domain_model_scientificfield.php
